"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64","P65","P66","P67","P68","P69"
"CBAM good","1","2","3","4","5","6","7","8",,"The main reducing agent of the precursor, if known","Steel mill identification number","% Mn","% Cr","% Ni","% other alloys","% carbon","t scrap per t steel","% pre-consumer scrap","% other materials","t scrap per t aluminium","% non-aluminium elements","Clinker factor","Calcined or not","Concentration, if hydrous solution","% nitric acid","% urea","% N contained","% N as ammonium (NH4+)","% N as nitrate (NO3?)","% N as Urea","% N in other (organic) forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cement","n.a.","Clinker factor","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cement clinker","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calcined clays ","n.a.","Calcined or not","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aluminous cement","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron or steel products","The main reducing agent of the precursor, if known","Steel mill identification number","% Mn","% Cr","% Ni","% other alloys","% other materials","n.a.",,"True","True","True","True","True","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude steel","The main reducing agent of the precursor, if known","% Mn","% Cr","% Ni","% other alloys","t scrap per t steel","% pre-consumer scrap","n.a.",,"True","False","True","True","True","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Direct reduced iron","The main reducing agent of the precursor, if known","% Mn","% Cr","% Ni","% other alloys","n.a.","n.a.","n.a.",,"True","False","True","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pig iron","The main reducing agent of the precursor, if known","% Mn","% Cr","% Ni","% other alloys","n.a.","n.a.","n.a.",,"True","False","True","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alloys (FeMn, FeCr, FeNi)","n.a.","% Mn","% Cr","% Ni","% carbon","n.a.","n.a.","n.a.",,"False","False","True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sintered Ore","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ammonia","n.a.","Concentration, if hydrous solution","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nitric acid","n.a.","% nitric acid","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urea","n.a.","% urea","% N contained","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mixed fertilisers","n.a.","% N as ammonium (NH4+)","% N as nitrate (NO3?)","% N as Urea","% N in other (organic) forms","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aluminium products","n.a.","t scrap per t aluminium","% non-aluminium elements","% pre-consumer scrap","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unwrought aluminium","n.a.","t scrap per t aluminium","% non-aluminium elements","% pre-consumer scrap","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electricity (export to EU)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Formula:","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cement","Cement clinker","Calcined clays ","Aluminous cement","Iron or steel products","Crude steel","Direct reduced iron","Pig iron","Alloys (FeMn, FeCr, FeNi)","Sintered Ore","Hydrogen","Ammonia","Nitric acid","Urea","Mixed fertilisers","Aluminium products","Unwrought aluminium","Electricity (export to EU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_CNTR_ListGoodsForCN","Parameters_Constants!$B$134:$B$136","Parameters_Constants!$C$134:$C$134","Parameters_Constants!$D$134:$D$134","Parameters_Constants!$E$134:$E$134","Parameters_Constants!$F$134:$F$554","Parameters_Constants!$G$134:$G$171","Parameters_Constants!$H$134:$H$135","Parameters_Constants!$I$134:$I$140","Parameters_Constants!$J$134:$J$142","Parameters_Constants!$K$134:$K$134","Parameters_Constants!$L$134:$L$134","Parameters_Constants!$M$134:$M$135","Parameters_Constants!$N$134:$N$134","Parameters_Constants!$O$134:$O$135","Parameters_Constants!$P$134:$P$153","Parameters_Constants!$Q$134:$Q$186","Parameters_Constants!$R$134:$R$138","Parameters_Constants!$S$134:$S$134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","25232100","25231000","25070080","25233000","72051000","72061000","72031000","72011011","72021120","26011200","28041000","28141000","28080000","31021010","28342100","76031000","76011010","27160000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","25232900","n.a.","n.a.","n.a.","72052100","72069000","72039000","72011019","72021180","n.a.","n.a.","28142000","n.a.","31021090","31022100","76032000","76011090","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","25239000","n.a.","n.a.","n.a.","72052900","72071111","n.a.","72011030","72021900","n.a.","n.a.","n.a.","n.a.","n.a.","31022900","76041010","76012030","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","n.a.","n.a.","n.a.","n.a.","72081000","72071114","n.a.","72011090","72024110","n.a.","n.a.","n.a.","n.a.","n.a.","31023010","76041090","76012040","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","n.a.","n.a.","n.a.","n.a.","72082500","72071116","n.a.","72012000","72024190","n.a.","n.a.","n.a.","n.a.","n.a.","31023090","76042100","76012080","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","n.a.","n.a.","n.a.","n.a.","72082600","72071190","n.a.","72015010","72024910","n.a.","n.a.","n.a.","n.a.","n.a.","31024010","76042910","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","n.a.","n.a.","n.a.","n.a.","72082700","72071210","n.a.","72015090","72024950","n.a.","n.a.","n.a.","n.a.","n.a.","31024090","76042990","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","n.a.","n.a.","n.a.","n.a.","72083600","72071290","n.a.","n.a.","72024990","n.a.","n.a.","n.a.","n.a.","n.a.","31025000","76051100","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","n.a.","n.a.","n.a.","n.a.","72083700","72071912","n.a.","n.a.","72026000","n.a.","n.a.","n.a.","n.a.","n.a.","31026000","76051900","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","n.a.","n.a.","n.a.","n.a.","72083800","72071919","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31028000","76052100","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","n.a.","n.a.","n.a.","n.a.","72083900","72071980","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31029000","76052900","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","n.a.","n.a.","n.a.","n.a.","72084000","72072011","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31051000","76061130","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","n.a.","n.a.","n.a.","n.a.","72085120","72072015","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31052010","76061150","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","n.a.","n.a.","n.a.","n.a.","72085191","72072017","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31052090","76061191","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","n.a.","n.a.","n.a.","n.a.","72085198","72072019","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31053000","76061193","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","n.a.","n.a.","n.a.","n.a.","72085210","72072032","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31054000","76061199","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","n.a.","n.a.","n.a.","n.a.","72085291","72072039","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31055100","76061211","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","n.a.","n.a.","n.a.","n.a.","72085299","72072052","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31055900","76061219","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19","n.a.","n.a.","n.a.","n.a.","72085310","72072059","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31059020","76061230","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","n.a.","n.a.","n.a.","n.a.","72085390","72072080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","31059080","76061250","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21","n.a.","n.a.","n.a.","n.a.","72085400","72181000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76061292","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22","n.a.","n.a.","n.a.","n.a.","72089020","72189110","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76061293","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","n.a.","n.a.","n.a.","n.a.","72089080","72189180","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76061299","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","n.a.","n.a.","n.a.","n.a.","72091500","72189911","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76069100","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25","n.a.","n.a.","n.a.","n.a.","72091610","72189919","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76069200","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","n.a.","n.a.","n.a.","n.a.","72091690","72189920","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76071111","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27","n.a.","n.a.","n.a.","n.a.","72091710","72189980","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76071119","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","n.a.","n.a.","n.a.","n.a.","72091790","72241010","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76071190","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","n.a.","n.a.","n.a.","n.a.","72091810","72241090","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76071910","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","n.a.","n.a.","n.a.","n.a.","72091891","72249002","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76071990","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31","n.a.","n.a.","n.a.","n.a.","72091899","72249003","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76072010","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","n.a.","n.a.","n.a.","n.a.","72092500","72249005","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76072091","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33","n.a.","n.a.","n.a.","n.a.","72092610","72249007","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76072099","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34","n.a.","n.a.","n.a.","n.a.","72092690","72249014","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76081000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","n.a.","n.a.","n.a.","n.a.","72092710","72249018","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76082020","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36","n.a.","n.a.","n.a.","n.a.","72092790","72249031","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76082081","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37","n.a.","n.a.","n.a.","n.a.","72092810","72249038","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76082089","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","n.a.","n.a.","n.a.","n.a.","72092890","72249090","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76090000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","n.a.","n.a.","n.a.","n.a.","72099020","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76101000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","n.a.","n.a.","n.a.","n.a.","72099080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76109010","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","n.a.","n.a.","n.a.","n.a.","72101100","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76109090","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","n.a.","n.a.","n.a.","n.a.","72101220","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76110000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","n.a.","n.a.","n.a.","n.a.","72101280","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76121000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44","n.a.","n.a.","n.a.","n.a.","72102000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76129020","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","n.a.","n.a.","n.a.","n.a.","72103000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76129030","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","n.a.","n.a.","n.a.","n.a.","72104100","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76129080","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","n.a.","n.a.","n.a.","n.a.","72104900","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76130000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","n.a.","n.a.","n.a.","n.a.","72105000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76141000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","n.a.","n.a.","n.a.","n.a.","72106100","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76149000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","n.a.","n.a.","n.a.","n.a.","72106900","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76161000","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","n.a.","n.a.","n.a.","n.a.","72107010","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76169100","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52","n.a.","n.a.","n.a.","n.a.","72107080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76169910","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53","n.a.","n.a.","n.a.","n.a.","72109030","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","76169990","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","n.a.","n.a.","n.a.","n.a.","72109040","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55","n.a.","n.a.","n.a.","n.a.","72109080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","n.a.","n.a.","n.a.","n.a.","72111300","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","n.a.","n.a.","n.a.","n.a.","72111400","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58","n.a.","n.a.","n.a.","n.a.","72111900","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59","n.a.","n.a.","n.a.","n.a.","72112320","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60","n.a.","n.a.","n.a.","n.a.","72112330","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61","n.a.","n.a.","n.a.","n.a.","72112380","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","n.a.","n.a.","n.a.","n.a.","72112900","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63","n.a.","n.a.","n.a.","n.a.","72119020","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64","n.a.","n.a.","n.a.","n.a.","72119080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65","n.a.","n.a.","n.a.","n.a.","72121010","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66","n.a.","n.a.","n.a.","n.a.","72121090","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67","n.a.","n.a.","n.a.","n.a.","72122000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68","n.a.","n.a.","n.a.","n.a.","72123000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69","n.a.","n.a.","n.a.","n.a.","72124020","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70","n.a.","n.a.","n.a.","n.a.","72124080","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71","n.a.","n.a.","n.a.","n.a.","72125020","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
